builder_name:             dufour yachts (fra)
type_name:                dufour 34
category:                 zeiljacht
build_material:           polyester
build_year:               2010.0
asking_price_euros:       69000.0
length_over_all_meters:   10.6
width_meters:             3.48
draft_meters:             1.9
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87161/XXX
