builder_name:             jeanneau (fra)
type_name:                jeanneau sun odyssey 50 ds
category:                 zeiljacht
build_material:           polyester
build_year:               2008.0
asking_price_euros:       170000.0
length_over_all_meters:   15.07
width_meters:             4.49
draft_meters:             2.15
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/85889/XXX
