builder_name:             bavaria yachts (ger)
type_name:                bavaria 37-2 cruiser
category:                 zeiljacht
build_material:           polyester
build_year:               2005.0
asking_price_euros:       69500.0
length_over_all_meters:   11.35
width_meters:             3.8
draft_meters:             1.95
displaces_kgs:            900.0
ballast_kgs:              None
steering:                 wheel
engine_name:              volvo
engine_build_year:        2005.0
standing_height_meters:   1.95
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86278/XXX
