builder_name:             jeanneau (fra)
type_name:                jeanneau sun odyssey 34.2
category:                 zeiljacht
build_material:           polyester
build_year:               1999.0
asking_price_euros:       49900.0
length_over_all_meters:   10.3
width_meters:             3.29
draft_meters:             1.7
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92809/XXX
