builder_name:             jeanneau (fra)
type_name:                jeanneau sun odyssey 32
category:                 zeiljacht
build_material:           polyester
build_year:               2005.0
asking_price_euros:       52500.0
length_over_all_meters:   9.6
width_meters:             3.35
draft_meters:             1.5
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93666/XXX
