builder_name:             jeanneau (fra)
type_name:                jeanneau sun odyssey 35
category:                 zeiljacht
build_material:           polyester
build_year:               2004.0
asking_price_euros:       85000.0
length_over_all_meters:   10.75
width_meters:             3.47
draft_meters:             2.18
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92831/XXX
