builder_name:             alubat (fra)
type_name:                alubat cigale 16
category:                 zeiljacht
build_material:           overig
build_year:               1995.0
asking_price_euros:       220000.0
length_over_all_meters:   16.0
width_meters:             4.6
draft_meters:             2.3
displaces_kgs:            8000.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92701/XXX
