builder_name:             jeanneau (fra)
type_name:                jeanneau sun odyssey 43
category:                 zeiljacht
build_material:           polyester
build_year:               2002.0
asking_price_euros:       69000.0
length_over_all_meters:   13.0
width_meters:             4.19
draft_meters:             2.0
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92395/XXX
