builder_name:             jeanneau (fra)
type_name:                jeanneau sun odyssey 34.2
category:                 zeiljacht
build_material:           polyester
build_year:               2000.0
asking_price_euros:       49500.0
length_over_all_meters:   10.3
width_meters:             3.29
draft_meters:             1.7
displaces_kgs:            4650.0
ballast_kgs:              None
steering:                 wheel
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93575/XXX
