builder_name:             jeanneau (fra)
type_name:                jeanneau sun odyssey 36i
category:                 zeiljacht
build_material:           polyester
build_year:               2008.0
asking_price_euros:       86000.0
length_over_all_meters:   10.9
width_meters:             3.59
draft_meters:             1.94
displaces_kgs:            700.0
ballast_kgs:              None
steering:                 wheel
engine_name:              yanmar
engine_build_year:        2008.0
standing_height_meters:   1.92
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91183/XXX
