builder_name:             jeanneau (fra)
type_name:                jeanneau jeanneau sun odyssey 33i
category:                 zeiljacht
build_material:           polyester
build_year:               2011.0
asking_price_euros:       94010.0
length_over_all_meters:   9.96
width_meters:             3.34
draft_meters:             1.9
displaces_kgs:            4645.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92542/XXX
