builder_name:             american mariner industries
type_name:                american marine grand banks 42 classic
category:                 zeiljacht
build_material:           polyester
build_year:               1989.0
asking_price_euros:       189000.0
length_over_all_meters:   13.28
width_meters:             4.14
draft_meters:             1.27
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              mtu
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92487/XXX
