builder_name:             dufour yachts (fra)
type_name:                dufour 1300
category:                 zeiljacht
build_material:           polyester
build_year:               1975.0
asking_price_euros:       7500.0
length_over_all_meters:   7.26
width_meters:             2.64
draft_meters:             1.7
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87360/XXX
