builder_name:             bavaria yachts (ger)
type_name:                bavaria bavaria 37 cruiser
category:                 zeiljacht
build_material:           polyester
build_year:               2007.0
asking_price_euros:       75000.0
length_over_all_meters:   11.35
width_meters:             3.7
draft_meters:             1.95
displaces_kgs:            6900.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92579/XXX
