builder_name:             dufour yachts (fra)
type_name:                dufour yachts dufour 35 classic
category:                 zeiljacht
build_material:           polyester
build_year:               1999.0
asking_price_euros:       52000.0
length_over_all_meters:   10.45
width_meters:             3.48
draft_meters:             1.8
displaces_kgs:            4500.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94891/XXX
