builder_name:             jeanneau (fra)
type_name:                jeanneau sun odyssey 24.2
category:                 zeiljacht
build_material:           polyester
build_year:               2001.0
asking_price_euros:       19500.0
length_over_all_meters:   7.3
width_meters:             2.49
draft_meters:             1.1
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        2001.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/88320/XXX
