builder_name:             jeanneau (fra)
type_name:                jeanneau sun odyssey 31
category:                 zeiljacht
build_material:           polyester
build_year:               1993.0
asking_price_euros:       31000.0
length_over_all_meters:   9.3
width_meters:             3.23
draft_meters:             1.1
displaces_kgs:            0.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        1993.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91921/XXX
