builder_name:             jeanneau (fra)
type_name:                jeanneau sun odyssey 36.2
category:                 zeiljacht
build_material:           polyester
build_year:               1996.0
asking_price_euros:       65000.0
length_over_all_meters:   11.0
width_meters:             3.75
draft_meters:             1.9
displaces_kgs:            5600.0
ballast_kgs:              None
steering:                 wheel
engine_name:              yanmar
engine_build_year:        1996.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91547/XXX
