builder_name:             granada yachts (den)
type_name:                granada 31
category:                 zeiljacht
build_material:           polyester
build_year:               1987.0
asking_price_euros:       19950.0
length_over_all_meters:   9.4
width_meters:             3.1
draft_meters:             1.45
displaces_kgs:            0.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        1987.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89105/XXX
