builder_name:             dufour yachts (fra)
type_name:                dufour 455
category:                 zeiljacht
build_material:           polyester
build_year:               2008.0
asking_price_euros:       105000.0
length_over_all_meters:   13.76
width_meters:             4.3
draft_meters:             2.0
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86964/XXX
