builder_name:             jeanneau (fra)
type_name:                jeanneau sun odyssey 32.2
category:                 zeiljacht
build_material:           polyester
build_year:               2005.0
asking_price_euros:       52500.0
length_over_all_meters:   9.65
width_meters:             3.3
draft_meters:             1.5
displaces_kgs:            4200.0
ballast_kgs:              1400.0
steering:                 tiller
engine_name:              yanmar
engine_build_year:        2005.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/90390/XXX
