builder_name:             jeanneau (fra)
type_name:                jeanneau sun odyssey 40
category:                 zeiljacht
build_material:           polyester
build_year:               2001.0
asking_price_euros:       89500.0
length_over_all_meters:   12.2
width_meters:             3.95
draft_meters:             1.95
displaces_kgs:            7300.0
ballast_kgs:              2400.0
steering:                 None
engine_name:              yanmar
engine_build_year:        2001.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94101/XXX
