builder_name:             winner yachts
type_name:                winner 9.50
category:                 zeiljacht
build_material:           polyester
build_year:               2005.0
asking_price_euros:       63500.0
length_over_all_meters:   9.5
width_meters:             3.1
draft_meters:             1.3
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93096/XXX
