builder_name:             jeanneau (fra)
type_name:                jeanneau jeanneau sun odyssey 51
category:                 zeiljacht
build_material:           polyester
build_year:               1991.0
asking_price_euros:       129000.0
length_over_all_meters:   15.35
width_meters:             4.85
draft_meters:             2.0
displaces_kgs:            14000.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92628/XXX
