builder_name:             dufour yachts (fra)
type_name:                dufour 385
category:                 zeiljacht
build_material:           polyester
build_year:               2008.0
asking_price_euros:       80000.0
length_over_all_meters:   11.72
width_meters:             3.93
draft_meters:             1.76
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/86907/XXX
