builder_name:             jeanneau (fra)
type_name:                jeanneau sun odyssey 33i
category:                 zeiljacht
build_material:           polyester
build_year:               2012.0
asking_price_euros:       87500.0
length_over_all_meters:   9.96
width_meters:             3.45
draft_meters:             1.55
displaces_kgs:            90000.0
ballast_kgs:              None
steering:                 wheel
engine_name:              yanmar
engine_build_year:        2012.0
standing_height_meters:   1.86
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92734/XXX
