builder_name:             bavaria yachts (ger)
type_name:                bavaria 46-4 cruiser
category:                 zeiljacht
build_material:           polyester
build_year:               2006.0
asking_price_euros:       119000.0
length_over_all_meters:   14.2
width_meters:             4.35
draft_meters:             2.05
displaces_kgs:            0.0
ballast_kgs:              None
steering:                 wheel
engine_name:              volvo
engine_build_year:        2006.0
standing_height_meters:   2.1
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87953/XXX
