builder_name:             dufour yachts (fra)
type_name:                dufour 24
category:                 zeiljacht
build_material:           polyester
build_year:               1979.0
asking_price_euros:       4950.0
length_over_all_meters:   7.35
width_meters:             2.5
draft_meters:             1.2
displaces_kgs:            1361.0
ballast_kgs:              None
steering:                 tiller
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87044/XXX
