builder_name:             jeanneau (fra)
type_name:                jeanneau sun odyssey 37.1
category:                 zeiljacht
build_material:           polyester
build_year:               1994.0
asking_price_euros:       59900.0
length_over_all_meters:   11.4
width_meters:             3.89
draft_meters:             1.87
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93180/XXX
