builder_name:             albin marine
type_name:                albin vega
category:                 zeiljacht
build_material:           polyester
build_year:               1979.0
asking_price_euros:       8900.0
length_over_all_meters:   8.25
width_meters:             2.46
draft_meters:             1.21
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93774/XXX
