builder_name:             jeanneau (fra)
type_name:                jeanneau sun odyssey 439
category:                 zeiljacht
build_material:           polyester
build_year:               2012.0
asking_price_euros:       149000.0
length_over_all_meters:   13.34
width_meters:             4.24
draft_meters:             2.02
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94244/XXX
